Ticker,Type,Theme,EDEN Compliance View,Market-Cap Screen Required?,Market-Cap Eligible?,Market Cap $bn,Role in Analysis,Included in Main Quant Comparison?,Reason / Caveat
SMH,ETF,Orion benchmark: semiconductors / AI chips,Likely compliant as public ETF; still check liquidity and instrument structure,False,N/A - ETF benchmark,,Full quant benchmark and possible diversified alternative,True,ETF alternative to fictional single-name exposure
GRID,ETF,Cleanergy benchmark: smart-grid infrastructure,Likely compliant as public ETF; still check liquidity and instrument structure,False,N/A - ETF benchmark,,Full quant benchmark and possible diversified alternative,True,ETF alternative to fictional single-name exposure
MOO,ETF,NovaTerra benchmark: agribusiness,Likely compliant as public ETF; still check liquidity and instrument structure,False,N/A - ETF benchmark,,Full quant benchmark and possible diversified alternative,True,ETF alternative to fictional single-name exposure
CRUS,Stock,Orion alternative: profitable mid-cap fabless semiconductor company; less pure edge-AI exposure but cleaner public data and compliance profile,"Requires profitability, OECD-listing, and normal-equity check",True,True,8.373133824,Full quant comparison and possible public stock alternative,True,Passes market-cap screen; still requires profitability and listing-market confirmation
ITRI,Stock,Cleanergy alternative: smart-grid / utility infrastructure,"Requires profitability, OECD-listing, and normal-equity check",True,True,3.50059136,Full quant comparison and possible public stock alternative,True,Passes market-cap screen; still requires profitability and listing-market confirmation
TRMB,Stock,"NovaTerra alternative: positioning, software, connected workflows, precision agriculture","Requires profitability, OECD-listing, and normal-equity check",True,True,12.601053184,Full quant comparison and possible public stock alternative,True,Passes market-cap screen; still requires profitability and listing-market confirmation
AGCO,Stock,NovaTerra alternative: agricultural equipment and precision farming exposure,"Requires profitability, OECD-listing, and normal-equity check",True,True,8.459488256,Excluded from final public-stock alternative set,False,Excluded because it failed the market-cap screen or lacked usable price data
LSCC,Qualitative Comparable,"Relevant low-power semiconductor peer, but excluded because it fails the market-cap constraint",Not treated as eligible final alternative,Not screened,Not used as eligible alternative,,Qualitative comparable only,False,"Useful for peer context, but not treated as a main investable alternative"
ALGM,Qualitative Comparable,"Relevant automotive/industrial semiconductor peer, but excluded because of missing price data and profitability caveat",Not treated as eligible final alternative,Not screened,Not used as eligible alternative,,Qualitative comparable only,False,"Useful for peer context, but not treated as a main investable alternative"
SOXX,Qualitative Comparable,Secondary Orion ETF benchmark; excluded to avoid duplicating SMH,Not treated as eligible final alternative,Not screened,Not used as eligible alternative,,Qualitative comparable only,False,"Useful for peer context, but not treated as a main investable alternative"
ICLN,Qualitative Comparable,Secondary Cleanergy ETF benchmark; broader and less precise than GRID,Not treated as eligible final alternative,Not screened,Not used as eligible alternative,,Qualitative comparable only,False,"Useful for peer context, but not treated as a main investable alternative"
XLU,Qualitative Comparable,Existing EDEN holding; portfolio-overlap test belongs in Notebook 03,Not treated as eligible final alternative,Not screened,Not used as eligible alternative,,Qualitative comparable only,False,"Useful for peer context, but not treated as a main investable alternative"
VEGI,Qualitative Comparable,Secondary NovaTerra ETF benchmark; excluded to avoid duplicating MOO,Not treated as eligible final alternative,Not screened,Not used as eligible alternative,,Qualitative comparable only,False,"Useful for peer context, but not treated as a main investable alternative"
QCOM,Qualitative Comparable,"Relevant Orion peer, but excluded as an eligible alternative due to market-cap constraint",Not treated as eligible final alternative,Not screened,Not used as eligible alternative,,Qualitative comparable only,False,"Useful for peer context, but not treated as a main investable alternative"
TSLA,Qualitative Comparable,"Relevant battery-storage peer, but excluded due to market-cap constraint and imperfect business-model fit",Not treated as eligible final alternative,Not screened,Not used as eligible alternative,,Qualitative comparable only,False,"Useful for peer context, but not treated as a main investable alternative"
ETN,Qualitative Comparable,"Relevant electrification peer, but excluded due to market-cap constraint",Not treated as eligible final alternative,Not screened,Not used as eligible alternative,,Qualitative comparable only,False,"Useful for peer context, but not treated as a main investable alternative"
DE,Qualitative Comparable,"Relevant precision-agriculture peer, but excluded due to market-cap constraint",Not treated as eligible final alternative,Not screened,Not used as eligible alternative,,Qualitative comparable only,False,"Useful for peer context, but not treated as a main investable alternative"
NVDA,Qualitative Comparable,AI-chip leader but excluded due to market-cap constraint and ASML/AI concentration,Not treated as eligible final alternative,Not screened,Not used as eligible alternative,,Qualitative comparable only,False,"Useful for peer context, but not treated as a main investable alternative"
MRVL,Qualitative Comparable,Relevant semiconductor comp but likely outside market-cap constraint,Not treated as eligible final alternative,Not screened,Not used as eligible alternative,,Qualitative comparable only,False,"Useful for peer context, but not treated as a main investable alternative"
ARM,Qualitative Comparable,Relevant IP/licensing comp but likely outside market-cap constraint and shorter listed history,Not treated as eligible final alternative,Not screened,Not used as eligible alternative,,Qualitative comparable only,False,"Useful for peer context, but not treated as a main investable alternative"
ENPH,Qualitative Comparable,Clean-energy electronics comp but less grid-scale than Cleanergy,Not treated as eligible final alternative,Not screened,Not used as eligible alternative,,Qualitative comparable only,False,"Useful for peer context, but not treated as a main investable alternative"
FLNC,Qualitative Comparable,"Closest Cleanergy pure-play, but likely profitability/compliance concern",Not treated as eligible final alternative,Not screened,Not used as eligible alternative,,Qualitative comparable only,False,"Useful for peer context, but not treated as a main investable alternative"
STEM,Qualitative Comparable,"Energy-storage software comp, but weak/risky profile and likely profitability concern",Not treated as eligible final alternative,Not screened,Not used as eligible alternative,,Qualitative comparable only,False,"Useful for peer context, but not treated as a main investable alternative"
EOSE,Qualitative Comparable,"Battery-storage comp, but major profitability/margin concern",Not treated as eligible final alternative,Not screened,Not used as eligible alternative,,Qualitative comparable only,False,"Useful for peer context, but not treated as a main investable alternative"
PL,Qualitative Comparable,"Closest NovaTerra satellite-data comp, but likely profitability concern",Not treated as eligible final alternative,Not screened,Not used as eligible alternative,,Qualitative comparable only,False,"Useful for peer context, but not treated as a main investable alternative"
